eur_schiffels_durbin	10000000.0	10000	0.15	1598118.7513709178	81642.84116919937	1.2e-07
eur_schiffels_durbin	10000000.0	100000	0.75	8448704.532909432	83239.71411794836	1.2e-07
eur_schiffels_durbin	10000000.0	250000	0.8	16107437.467026692	57083.68928060401	1.2e-07
eur_schiffels_durbin	10000000.0	500000	0.85	25677376.958985772	67796.08853659316	1.2e-07
eur_schiffels_durbin	10000000.0	1000000	1.0	39532056.610368356	74842.9249092728	1.2e-07
eur_schiffels_durbin	10000000.0	2500000	1.0	64507098.52189885	89342.24197445017	1.2e-07
eur_schiffels_durbin	100000000.0	10000	0.15	1607620.0404835949	81695.56943146624	1.2e-07
eur_schiffels_durbin	100000000.0	100000	0.75	8887930.955132639	63123.1369157328	1.2e-07
eur_schiffels_durbin	100000000.0	250000	0.8	18029875.606771424	59991.12637064697	1.2e-07
eur_schiffels_durbin	100000000.0	500000	0.9	31473710.069266178	105305.48126171042	1.2e-07
eur_schiffels_durbin	100000000.0	1000000	1.0	55823925.98463247	56434.59644500776	1.2e-07
eur_schiffels_durbin	100000000.0	2500000	1.0	119297832.98643605	89436.55769176372	1.2e-07
eur_schiffels_durbin_orig	613285.0	10000	0.15	1448767.548756551	104529.83618095581	1.2e-07
eur_schiffels_durbin_orig	613285.0	100000	0.35	4913565.918338497	57257.19080689023	1.2e-07
eur_schiffels_durbin_orig	613285.0	250000	0.4	6932996.022641579	60479.62518505047	1.2e-07
eur_schiffels_durbin_orig	613285.0	500000	0.7	8547619.662032645	74763.83905496128	1.2e-07
eur_schiffels_durbin_orig	613285.0	1000000	0.65	10190501.822982056	97448.37114332942	1.2e-07
eur_schiffels_durbin_orig	613285.0	2500000	0.9	12397067.83276154	72336.8107286606	1.2e-07
eur_SD_exp	101523969.3790376	10000	0.2	2006454.8364071262	60681.661932032075	1.2e-07
eur_SD_exp	101523969.3790376	100000	0.75	11997526.553938273	65980.3844207956	1.2e-07
eur_SD_exp	101523969.3790376	250000	1.0	24526024.921641864	59518.70608599293	1.2e-07
eur_SD_exp	101523969.3790376	500000	0.95	41458711.38841681	99542.06564452861	1.2e-07
eur_SD_exp	101523969.3790376	1000000	1.0	68637785.41583183	53596.11074585465	1.2e-07
eur_SD_exp	101523969.3790376	2500000	1.0	128328188.6042655	69647.84016721217	1.2e-07
yri_schiffels_durbin	10000000.0	10000	0.1	2126323.5654903697	192284.67043587772	1.2e-07
yri_schiffels_durbin	10000000.0	100000	0.8	10480574.289126158	96357.64276583162	1.2e-07
str_schiffels_durbin	10000000.0	10000	0.05	2035158.743409941	91589.82212295814	1.2e-07
str_schiffels_durbin	10000000.0	100000	0.8	10523872.21740127	93230.89623457275	1.2e-07
yri_schiffels_durbin	10000000.0	250000	0.9	19091818.531279128	92475.72225954845	1.2e-07
str_schiffels_durbin	10000000.0	250000	0.85	20682671.997610446	223078.67712089015	1.2e-07
yri_schiffels_durbin	10000000.0	500000	1.0	29299031.27998535	99952.36542575104	1.2e-07
str_schiffels_durbin	10000000.0	500000	0.95	33569764.5702549	181874.7396679105	1.2e-07
yri_schiffels_durbin	10000000.0	1000000	1.0	43697732.804814294	169443.5025284249	1.2e-07
str_schiffels_durbin	10000000.0	1000000	1.0	53270285.67668792	142817.8103823389	1.2e-07
yri_schiffels_durbin	10000000.0	2500000	1.0	69072364.58965461	123763.79382266517	1.2e-07
str_schiffels_durbin	10000000.0	2500000	1.0	92288104.9431392	79443.00981373483	1.2e-07
